Date,AMT,ANSS,BRK_A,BAM,KMX,CLNY,CSGP,DHR,DSGX,DLTR,MCO,ORLY,LAMR,MKL,MA
2009-03-20,26.18844129882898,23.33,84574.0,4.631233201416787,10.97,,27.91,19.387271827392432,2.67,13.636666666667,16.06053802411759,34.91,6.289195677989466,242.3,14.736645829303683
2009-03-23,27.48930504962048,25.16,90000.0,5.1285705063671045,12.2,,29.85,20.320465135501994,2.77,13.793333333333,17.659750276785314,33.76,6.864380842282125,271.25,15.4340142682137
2009-03-24,27.403721908121046,24.47,88500.0,4.931046470358468,12.51,,29.14,19.94791121792337,2.88,13.48,18.66032692685015,33.34,6.955199552433597,261.1,15.43306675674779
2009-03-25,27.309580452471657,24.49,86850.0,4.931046470358468,12.61,,30.05,20.11429452091965,2.89,14.08,19.01950828841188,34.1,7.2806332638097055,287.5,15.589406148622999
2009-03-26,27.14697248362272,26.26,91900.0,5.110934431723477,13.49,,30.94,20.421907877212952,2.95,14.573333333333,20.020084938476717,35.37,8.415867140703112,292.99,16.096324782885038
2009-03-27,27.3951635939711,25.51,89600.0,5.012172413719158,13.26,,30.08,20.06362879164781,3.0101,14.61,19.926013629496264,34.78,7.9390689124078815,283.57,15.867974519600642
2009-03-30,26.077183214879703,24.9,85600.0,4.779376228423265,12.48,,29.69,19.488210866346225,2.94,14.973333333333,18.728742424290477,35.05,7.295769715501619,276.78,15.449174451668268
2009-03-31,26.04294995827993,25.1,86700.0,4.8605021717839545,12.44,,30.25,19.622113150850367,2.67,14.85,19.601040016654693,35.01,7.379020199807135,283.88,15.868922031066552
2009-04-01,26.992922828923724,25.35,87600.0,5.086243927222397,12.46,,31.1,19.003267457601492,3.05,14.52,18.42087268580899,35.4,7.802840847180673,287.86,15.167763546292894
2009-04-02,28.362253092914784,26.45,90010.0,5.308458467732113,13.23,,32.4,19.694492764095852,3.14,14.416666666667,18.933988916611472,36.03,9.081871015147243,290.8,15.696474944270868
2009-04-03,29.432042361657796,27.4,92490.0,5.42485656038006,12.11,,32.75,19.48459188568395,3.13,14.083333333333,20.131260121817252,36.5,9.604078598518209,295.85,16.491437064169652
2009-04-06,27.977128956167295,27.53,91400.0,5.283767963231034,11.76,,32.55,19.560590479591706,3.05,14.14,19.729319074355313,36.83,10.610652636030363,287.6,16.252664174760245
2009-04-07,27.198322368522383,26.68,89000.0,5.029808488362786,11.4,,31.58,19.10821789680744,3.1,14.67,18.985300539691718,35.77,9.9673534391241,281.0,15.705950058929972
2009-04-08,27.27534719587188,26.65,88960.0,5.139152151153282,11.47,,31.3,19.155264645417006,3.15,14.556666666667,19.447105147413946,36.81,9.838693599742847,291.9,15.868922031066553
2009-04-09,28.088387040116572,27.15,92400.0,5.5694723724578115,12.23,,32.98,20.476192587147064,3.32,14.696666666667,20.94369415392118,37.88,10.33062827972999,316.0,16.355431144909687
2009-04-13,27.574888191119925,27.05,92490.0,5.625907811317422,11.71,,32.67,20.150484327542394,3.24,14.626666666667,21.773232060385187,36.91,10.852835863100955,302.0,16.696841049361005
2009-04-14,26.453749037477245,26.73,90700.0,5.495400858954573,11.43,,32.16,19.694492764095852,3.3,14.353333333333,20.627272478259652,36.89,10.693903120335879,280.05,15.752273647045683
2009-04-15,27.771729416568643,26.56,91305.0,5.453074279809865,11.09,,32.73,19.379641446478,3.34,14.22,20.823967033400603,36.66,10.633357313568231,297.79,15.691578552921005
2009-04-16,28.37936972121467,26.97,91450.0,5.428383775308785,11.98,,33.34,19.871822816547283,3.28,14.526666666667,23.398100124593036,38.03,12.041047320916054,295.55,15.334994874938513
2009-04-17,28.15685355331612,26.62,90300.0,5.50598250374075,12.8,,33.81,19.962297333104136,3.288,14.223333333333,24.501300020818366,38.71,13.221690552885194,286.6,15.463971949953457
2009-04-20,27.00148114307367,25.79,89000.0,4.938100900215919,12.07,,33.04,19.249358142636133,3.08,14.433333333333,23.141542009191795,37.95,11.049609735095812,264.0,14.40085944192587
2009-04-21,27.583446505269865,26.09,88150.0,5.160315440725636,12.13,,33.6,19.672778880122205,3.07,14.35,23.62900242845415,38.51,12.116729579375615,287.8,15.58820722073991
2009-04-22,27.3951635939711,26.28,85050.0,5.153261010868184,12.73,,33.39,19.918869565156847,2.97,14.496666666667,23.2869249412525,38.45,11.95022861076458,279.81,15.246797316288589
2009-04-23,27.37804696567121,26.59,85590.0,5.209696449727795,12.71,,35.0,21.004563763839087,3.08,14.306666666667,23.859904732315268,38.46,12.570823130132975,286.99,15.671662975161345
2009-04-24,28.062712097666736,27.12,88250.0,5.276713533373583,12.94,,35.75,21.869500142122607,3.22,14.193333333333,24.66378682723915,37.72,12.843279260587392,289.75,16.415177878188665
2009-04-27,28.182528495765958,27.2,90000.0,5.068607852578769,12.67,,35.81,21.1710368743037,3.2,14.363333333333,25.330837927282374,38.22,11.927523933226713,278.42,15.70011380053229
2009-04-28,27.848754243918137,26.8,89000.0,5.103880001866025,12.51,,36.83,20.809138808076284,3.24,14.633333333333,23.509275307933574,38.64,11.11015554186346,287.02,15.888837608826211
2009-04-29,28.490627805163943,27.06,93400.0,5.428383775308785,12.53,,37.45,21.351985907417404,3.266,14.346666666667,24.621027141338946,37.24,11.814000545537372,294.89,16.9007386311861
2009-04-30,27.181205740222495,27.62,94000.0,5.524429884046228,12.76,,37.05,21.149322990330052,3.25,14.113333333333,25.245318555481962,38.85,12.7903016796657,287.0,17.39767971433191
2009-05-01,26.368165895977803,27.36,92005.0,5.360795772863919,12.3,,37.31,21.420746540000614,3.36,13.843333333333,25.228214681121877,37.55,12.714619421206141,278.05,16.3971590221204
2009-05-04,25.538009423433227,27.33,93700.0,5.520872620759656,12.9,,36.82,22.198827382389556,3.32,14.393333333333,25.912369655525183,38.41,13.259531682114975,278.05,16.974710777150555
2009-05-05,26.556448807276578,26.91,94500.0,5.549330727052231,13.52,,36.36,22.557106467954693,3.31,14.406666666667,26.6820440017289,37.99,13.433600876571964,276.83,17.39388627094912
2009-05-06,26.624915320476127,27.5,94900.0,5.851698106410846,13.07,,36.05,22.491964816033757,3.37,14.26,26.62218044146861,37.5,14.001217815018666,295.2,17.395782992640516
2009-05-07,25.683500763982277,26.71,94390.0,6.1042637997574545,12.34,,34.69,22.075782039872234,3.31,14.45,25.322285990102333,36.51,16.740915571254753,276.02,17.144467368530517
2009-05-08,25.22991011403524,26.65,95295.0,6.5524789738655205,12.58,,35.66,22.21330330503865,3.3601,14.12,26.707699813269027,36.01,16.937689443249607,288.48,17.552262532180706
2009-05-11,25.324051569684624,27.04,90100.0,6.427974758835502,12.33,,36.28,21.865881161460333,3.5401,14.326666666667,26.56231688120832,36.84,16.831734281406224,283.0,17.163434585444477
2009-05-12,24.7763194640882,26.94,90000.0,6.328371386811487,11.69,,36.5,21.750073780267563,3.5,14.126666666667,25.613051854223738,36.09,15.000223626684864,288.35,16.8997902703404
2009-05-13,24.014629504743173,26.06,88600.0,5.993988637873725,10.66,,36.0,21.12037114503186,3.35,13.956666666667,23.842800857955183,35.08,13.373055069804316,282.5,16.194209801141003
2009-05-14,24.724969579188535,26.2,89600.0,6.253668857793476,10.41,,36.45,21.033515609137282,3.33,14.006666666667,24.287501591317334,35.42,14.341787978086687,286.99,16.439835260176817
2009-05-15,24.14300421699234,26.95,89120.0,6.111378326330598,10.53,,35.76,20.932184150593606,3.3,14.066666666667,24.287501591317334,36.17,13.57739716764513,280.96,16.41897132157146
2009-05-18,25.91457524603077,27.53,92000.0,6.239439804647188,10.69,,36.81,21.4931261532461,3.43,14.056666666667,25.49332473370316,37.02,14.773176851306182,285.8,16.44457706440531
2009-05-19,25.786200533781603,28.4,92100.0,6.424417495548929,10.55,,36.53,21.699408050995725,3.4099,14.236666666667,25.210160911349675,37.55,14.45531136577603,277.15,15.812020380324665
2009-05-20,25.657825821532445,28.85,92998.0,6.4813337081340805,10.31,,36.76,21.84778625814896,3.42,14.02,24.652413988532206,36.5,13.978513137480798,274.1,16.08704502557712
2009-05-21,25.161443600835685,28.11,90000.0,6.235882541360617,9.92,,36.22,21.351985907417404,3.44,14.15,24.120409231383235,36.09,13.320077488882625,274.45,16.28240735979093
2009-05-22,25.281259998934903,28.0,89200.0,6.196752645208326,9.91,,36.19,21.431603481987437,3.5,14.223333333333,23.931633349814245,35.97,13.426032650726006,278.5,15.966603198173459
2009-05-26,26.08574152902965,28.71,91800.0,6.392402125969782,10.62,,37.73,22.17711349841591,3.475,14.8,24.824028426322197,37.48,13.993649589172708,284.16,15.990312219315912
2009-05-27,26.21411624127881,28.7,91150.0,6.136279169336603,10.08,,36.25,21.81883441285077,3.47,15.1,24.15473211894123,36.28,13.872557975637413,280.04,15.873663835295043
2009-05-28,26.684823519525736,29.4,91250.0,6.210981698354614,11.1,,35.92,21.717502954307093,3.84,14.906666666667,23.07356116086429,36.17,13.812012168869765,281.9,16.322238515310254
2009-05-29,27.27534719587188,29.82,91600.0,6.257226121080048,11.21,,35.65,21.840548296824416,3.95,14.923333333333,23.502597255339268,36.05,14.03149071840249,285.0,16.722446792194855
2009-06-01,27.56632987696998,31.98,91880.0,6.3141423336652,12.47,,37.15,22.882814727559364,3.88,15.093333333333,24.497960994521215,37.33,14.79588152884405,283.99,16.475872972313343
2009-06-02,27.42939685057087,32.68,91976.0,6.66275413574925,12.86,,37.49,22.716341617094756,3.93,15.413333333333,24.575187491526712,38.6,14.697494592846622,285.95,15.969448280710552
2009-06-03,26.556448807276578,32.04,89500.0,6.502677287853513,12.67,,38.69,22.49558379669603,3.954,15.123333333333,24.669575432311206,38.49,13.721193458718293,278.39,15.885992526289117
